market_id,signal_type,total_bet_usd,net_pnl_usd,vwap_entry_price,avg_P_model,avg_live_edge,avg_TTR_minutes,distance_to_strike_bps,is_coinflip,target_win
0x2c3443e34360fe8e30f0df56814ad6812f5029110ee4948a5ef4bfbe31a8e314,BUY_NO,1.13,1.3261386691304347,0.45999999999999996,0.4027518700798785,0.107958821395677,2.3397312666666665,-2.4121981479516967,True,1
0x2c81ea6bf2d83ef363ef51a3fdcbd0038fdfba16448adb1018ad0f0d2f1f82a5,BUY_NO,2.38,-2.38169932,0.36,0.4155032011809617,0.2011345778361812,3.895392433333333,-1.8057241936085326,True,0
0x2d9ad384af129fe2efb0834b186c749517197ece2185189e11c294426792a516,BUY_NO,404.79,-445.269,0.42,0.2983102001309775,0.2583169320594986,3.8720626,-3.097591339424284,False,0
0x2e14f2ce66741a0540502ece3e658dffceccea8a60f1e2b799c9e4a9aefd93a8,BUY_NO,1.69,-1.69085683,0.48,0.3968856288197939,0.0997569347611584,3.905798533333333,-2.5075567886889227,False,0
0x2e541aaeec17123d767066ac79b58daed90b9a0c09c74620eac3f05f331ed0d7,BUY_NO,501.1,-551.21,0.55,0.2594864776984101,0.1671480502025422,3.888286616666667,-4.05512113403821,False,0
0x2f4fdb78780a6c192dbbdbb52e81f4a7f2780bdd9a29e38dea1413a3bcc3261d,BUY_NO,292.88,472.95395924756764,0.37,0.2763451578275891,0.3303290246105062,3.975013433333333,-3.497532433557338,False,1
0x305b7fd776290c3b51ac4f6fb9bd4b67d836502d3aed8724198f81c85a73c976,BUY_NO,769.74,-846.714,0.15,0.5144225479894295,0.3120853862048561,3.6113159666666665,0.21935060437859283,True,0
0x329c0c7058a7e5d60d8cbcc29076da8925d24cefad886f2eea3e5c4e2a429321,BUY_NO,14.49,-14.55298803,0.67,0.0904875966341528,0.216122228958228,3.834262283333333,-9.723222070033474,False,0
0x34e43691802cce83fd4e946bd1cd38cd28a34013293be8470a8b483e0051195c,BUY_NO,41.01,13.165453970000002,0.75,0.0151284620866342,0.2111030942409847,3.006753633333333,-11.811899267553512,False,1
0x39a87a60dd1c777e1521ba86873ded397fff59e964228bbc3af886f15927c6f6,BUY_NO,1.19,-1.19042483,0.41,0.4949342593079349,0.0717440025206365,3.9839466166666666,-0.1336130858742528,True,0
0x3af56f7defbf03967fa2fcd787e72f7a71671970745a184ebe4f1e0808f9b516,BUY_NO,1.0,-1.0003,0.65,0.2760719637534469,0.0498555350217911,3.2049855666666667,-6.425791983151957,False,0
0x41eef848c92378e6d2c5259960d4fc706853df491f505cd75beccfb31295486f,BUY_NO,409.61,-450.571,0.19,0.4849138846429413,0.3014493328961063,3.294876533333333,-0.213238389912055,True,0
0x438f9f097069802e07ebacbc7866996712d42a9adf882e489d613b14e2a90baa,BUY_NO,599.22,-659.142,0.71,0.1452113670835612,0.1212498836973912,3.5092785333333336,-6.1631037354261435,False,0
0x4422be33d31164ff5e07faa2c82eab0bd53bbcacafc63ab73a9dd7247a59f2b3,BUY_NO,1.0,0.5148515151515152,0.66,0.2817468948505041,0.0349228164104482,3.965358833333333,-6.122038502641099,False,1
0x448d4ddb8d0ecb0d5761b44db38691a4c1bd376ca76a6c34d87b538c214af4ce,BUY_NO,2.6,2.597972,0.5,0.3567250693441824,0.1199124106481984,3.894714433333333,-2.970233735184328,False,1
0x453fbfddec4ef9ccb0acc546cc775e586192fde2e22a3b4e78bcf98259aa86c4,BUY_NO,10.2,-10.231212,0.24000000000000002,0.5188442451210771,0.21829861202178,3.9654031166666655,0.33385092795101734,True,0
0x470f347a516ed9ec08412587f1d2e775d0ae8e1f9cfa47715f044d11b09d1ef9,BUY_NO,119.98,82.56350884551726,0.58,0.1768065905880993,0.2197138467680911,3.63868135,-5.344315775110702,False,1
0x4a476b1b4bd558ab4ba1d962f197f88ff709364650444233916236fe03774727,BUY_NO,46.59,27.903972860322586,0.62,0.0666236419312132,0.2900566316002153,3.9884304666666655,-8.856602374011816,False,1
0x4ca95da97deb0a1753e609c6f668d9fb19faa3113c878f06087ee4f2d1a2f68a,BUY_NO,1.0,0.7540859649122809,0.57,0.3654025766998046,0.0412030498221002,3.8250944166666665,-3.745622897360667,False,1
0x4cd68d395b56c8cf1a43919be2d68c5341cbe24b090a970c65423b1936915d8c,BUY_NO,17.55,11.128091053278691,0.61,0.027271315377549,0.3388631443253082,2.794351933333333,-10.234490093797067,False,1
0x4d0a1b88c89855b0b813ea027504fd8a8265ea5039ac3e86c57cf8e877ddf75a,BUY_NO,191.32,196.28233061333333,0.48,0.2741028187628326,0.2225803560866912,3.9946604,-3.5413150629847774,False,1
0x4d460dd4d998186bacb3961ac9065f37dd5d795aa522efd1d4d5884f215354b9,BUY_NO,17.86,-17.95569388,0.3,0.4851434884342472,0.1914707114971814,3.843773816666667,-0.21598217259631738,True,0
0x4f14db850db89be8a95d67c25ecc891a584652181ea7dc11bb98d81822ea7b34,BUY_NO,84.85,-87.00985675,0.44,0.4235196217603055,0.1129401217444565,3.505930433333333,-1.0986363992078996,True,0
0x4fb88919ce68d909a1308f7587c5f710b3ce1496e4c036fa01617f81967e971b,BUY_NO,66.28,64.96208848,0.5,0.2349942775150668,0.2416215241382664,3.847264983333333,-4.22258284011785,False,1
